13.01.24;15:00 Uhr;Planetarium;Captain Schnuppes Weltraumreise (FD);6
27.01.24;15:00 Uhr;Planetarium;2024 in Astronomie und Raumfahrt;12
10.02.24;15:00 Uhr;Planetarium;Peterchens Mondfahrt;6
24.02.24;15:00 Uhr;Planetarium;Von der Erde ins Universum (FD);12
09.03.24;15:00 Uhr;Planetarium;Tom rettet den Frühling;8
30.03.24;18:00 Uhr;Planetarium;Wie Tom den Osterhasen vom Himmel holte;12
13.04.24;15:00 Uhr;Planetarium;Sonne, Mond und Sterne;6
27.04.24;15:00 Uhr;Planetarium;Die Jahreszeiten – nur auf der Erde?;12
11.05.24;15:00 Uhr;Planetarium;Stups die kleine Sternschnuppe;6
25.05.24;15:00 Uhr;Planetarium;Leben bei anderen Sternen (FD);12
08.06.24;15:00 Uhr;Planetarium;Wie die Sternbilder an den Himmel kamen;6
29.06.24;15:00 Uhr;Planetarium;Planeten bei anderen Sternen;12
06.07.24;15:00 Uhr;Planetarium;55 Jahre Mondlandung;10
10.08.24;15:00 Uhr;Planetarium;Das Geheimnis der traurigen Sonne;6
31.08.24;15:00 Uhr;Planetarium;Schwarze Löcher, Neutronensterne, Weiße Zwerge;12
14.09.24;15:00 Uhr;Planetarium;Krümel und Professor;6
28.09.24;15:00 Uhr;Planetarium;Wo geht’s zur 2. Erde? ;12
12.10.24;15:00 Uhr;Planetarium;Der kleine Hävelmann ;6
19.10.24;15:00 Uhr;Planetarium;Bundesweiter Astronomietag: Unser Sonnensystem;10
19.10.24;19:00 Uhr;Sternwarte;Beobachtungen;
09.11.24;15:00 Uhr;Planetarium;Sternschnuppen überall;6
30.11.24;15:00 Uhr;Planetarium;Bedrohung aus dem All;12
07.12.24;10:00 Uhr;Hörsaal/Planetarium;23.STAT – 55 Jahre Planetarium Suhl;
14.12.24;15:00 Uhr;Planetarium;Die drei Weihnachtssternchen;5
21.12.24;14:00 Uhr;Planetarium;Tinos Traumreise zum Weihnachtshimmel;5
21.12.24;16:00 Uhr;Planetarium;Stern von Bethlehem;12
24.12.19;14:00 Uhr;Planetarium;Das Geheimnis des Weihnachtssterns;5
24.12.19;15:00 Uhr;Planetarium;Das Geheimnis des Weihnachtssterns;5
